dataset,missing,mode,phase,fusion_center_mode,use_anchor_moe,seed,train_drop_last,eval_drop_last,test_drop_last,effective_train_samples,effective_valid_samples,effective_test_samples,status,log_path,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
mosi,0.300000,dynamic_task_soft,full,dynamic_task_soft,0,111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter/logs/mosi_missing0.3_dynamic_task_soft_full.log,0.743400,0.743000,0.748500,0.747100,0.402300,0.349900,1.027100,0.619700,1.023600
mosi,0.300000,dynamic_task_soft,full,dynamic_task_soft,0,1111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter/logs/mosi_missing0.3_dynamic_task_soft_full.log,0.734700,0.734500,0.740900,0.739800,0.377600,0.338200,1.040900,0.621900,1.040600
mosi,0.300000,dynamic_task_soft,full,dynamic_task_soft,0,11111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter/logs/mosi_missing0.3_dynamic_task_soft_full.log,0.742000,0.742900,0.756100,0.756200,0.386300,0.349900,0.978900,0.620200,0.977200
mosi,0.400000,dynamic_task_soft,full,dynamic_task_soft,0,111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter/logs/mosi_missing0.4_dynamic_task_soft_full.log,0.691000,0.698700,0.686000,0.692200,0.252200,0.233200,1.255700,0.541400,1.252200
mosi,0.400000,dynamic_task_soft,full,dynamic_task_soft,0,1111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter/logs/mosi_missing0.4_dynamic_task_soft_full.log,0.699700,0.699000,0.707300,0.705700,0.317800,0.291500,1.118800,0.542500,1.115900
mosi,0.400000,dynamic_task_soft,full,dynamic_task_soft,0,11111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter/logs/mosi_missing0.4_dynamic_task_soft_full.log,0.731800,0.731200,0.737800,0.736400,0.288600,0.277000,1.106500,0.536400,1.104700
mosi,0.500000,dynamic_task_soft,full,dynamic_task_soft,0,111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter/logs/mosi_missing0.5_dynamic_task_soft_full.log,0.683700,0.683400,0.687500,0.686200,0.227400,0.217200,1.199500,0.452800,1.198200
mosi,0.500000,dynamic_task_soft,full,dynamic_task_soft,0,1111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter/logs/mosi_missing0.5_dynamic_task_soft_full.log,0.632700,0.648200,0.628000,0.642300,0.205500,0.205500,1.302900,0.429200,1.301300
mosi,0.500000,dynamic_task_soft,full,dynamic_task_soft,0,11111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter/logs/mosi_missing0.5_dynamic_task_soft_full.log,0.688000,0.687500,0.687500,0.685800,0.250700,0.240500,1.224800,0.467600,1.225300
